Name,Player ID,Helmet URL,Height (in),Height,Overall Rating,Jersey #,Class Year,Redshirt Status,Hometown,Home State,Team ID,Team,Team Logo URL,Conference ID,Conference,Conference Logo URL,Position ID,Position (Short),Position,Unit,Unit ID,Speed,Acceleration,Strength,Agility,Awareness,Jumping,Injury,Stamina,Toughness,Carrying,Break Tackle,Trucking,Change of Direction,Ball Carrier Vision,Stiff Arm,Spin Move,Juke Move,Break Sack,Run Block,Pass Block,Impact Blocking,Run Block Power,Run Block Finesse,Pass Block Power,Pass Block Finesse,Lead Block,Throw Power,Throw Under Pressure,Throw Accuracy Short,Throw Accuracy Mid,Throw Accuracy Deep,Throw on the Run,Play Action,Tackle,Power Moves,Finesse Moves,Block Shedding,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Hit Power,Press,Catching,Spectacular Catch,Catch in Traffic,Short Route Running,Medium Route Running,Deep Route Running,Kick Accuracy,Kick Power,Kick Return,runningStyle,Iteration ID,Iteration
Ahmad Hardy,23902,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/59.png?im=FaceCrop,padding=0.7",70,"5'10""",95,29,Sophomore,Eligible,Oma,Mississippi,59,Missouri,https://drop-assets.ea.com/images/5RtBgdfJvRGi7s2zECGwFS/0c03c9987c80af9965358e0b675d8b03/Missouri.png,SEC,SEC,https://drop-assets.ea.com/images/797vgRAVGIUkeVe3f1YoLD/5d2ce67b6bcb4fd5adc77f6e5994e5a3/SEC.png,HB,HB,Halfback,Offense,offense,91,96,75,96,84,88,94,97,95,83,96,77,97,92,87,91,93,49,45,57,52,44,43,55,54,45,35,31,33,37,33,39,26,36,29,27,37,32,59,50,68,36,40,63,62,65,65,59,55,29,32,75,0,cfb-26-national-championship,National Championship
Anthony Hill Jr.,8169,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/96.png?im=FaceCrop,padding=0.7",75,"6'3""",95,0,Junior,Eligible,Denton,Texas,96,Texas,https://drop-assets.ea.com/images/3PJCtK6Y8gWZn112nKGmBD/1c41d6f38e19875daff336a35fd65265/Texas.png,SEC,SEC,https://drop-assets.ea.com/images/797vgRAVGIUkeVe3f1YoLD/5d2ce67b6bcb4fd5adc77f6e5994e5a3/SEC.png,MLB,MIKE,Mike Backer,Defense,defense,92,93,84,88,90,91,95,92,97,67,46,66,85,54,65,64,70,55,55,50,82,54,54,48,47,55,52,36,44,43,34,45,36,94,79,79,85,93,92,73,80,97,67,70,61,51,45,45,40,32,30,55,0,cfb-26-national-championship,National Championship
D'Angelo Ponds,10261,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/38.png?im=FaceCrop,padding=0.7",69,"5'9""",95,5,Junior,Eligible,Miami,Florida,38,Indiana,https://drop-assets.ea.com/images/4toZEtAPrEnU1X3Dqwbh93/68d698b574fe80c91a0946d56fa29da5/Indiana.png,Big 10,Big Ten,https://drop-assets.ea.com/images/3MVleaeAJeehQC9SCckJe3/9ae157ee548e7d69ff13907c87dec94a/Big10.png,CB,CB,Cornerback,Defense,defense,94,96,55,97,95,96,90,97,81,62,75,29,95,81,30,81,87,31,25,31,45,26,25,29,28,35,33,21,18,35,11,15,44,73,25,32,45,82,95,88,96,69,75,75,57,54,42,40,35,22,24,74,0,cfb-26-national-championship,National Championship
Dillon Thieneman,22483,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/77.png?im=FaceCrop,padding=0.7",72,"6'0""",95,31,Junior,Eligible,Westfield,Indiana,77,Oregon,https://drop-assets.ea.com/images/73d1889HUnLCQJxRhI72lR/31a586ed1836b72aacd5a5aee3f7fda2/Oregon.png,Big 10,Big Ten,https://drop-assets.ea.com/images/3MVleaeAJeehQC9SCckJe3/9ae157ee548e7d69ff13907c87dec94a/Big10.png,SS,SS,Strong Safety,Defense,defense,91,92,75,88,93,87,94,96,92,33,46,63,87,74,60,67,73,47,52,65,74,68,54,54,63,57,11,36,14,32,26,36,28,86,50,55,73,95,92,85,83,89,77,81,70,66,34,34,30,24,42,50,0,cfb-26-national-championship,National Championship
Francis Mauigoa,23175,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/52.png?im=FaceCrop,padding=0.7",78,"6'6""",95,61,Junior,Eligible,Ili'ili,Non-US,52,Miami,https://drop-assets.ea.com/images/4cmIyUOVj1BdzyI08TJuTV/09d58d278cc60608c23a8894a74b5c50/Miami.png,ACC,ACC,https://drop-assets.ea.com/images/63IBTgQo7jjk0Ny2g71yxn/0210a2f5caa5dd6da384ef7975aa7224/ACC.png,RT,RT,Right Tackle,Offense,offense,78,85,96,76,96,75,97,93,94,53,44,44,59,44,42,33,29,38,89,95,99,87,91,97,89,95,32,22,33,17,34,25,27,45,61,39,57,35,44,33,35,61,32,33,32,30,33,29,31,25,29,25,0,cfb-26-national-championship,National Championship
Makai Lemon,23134,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/110.png?im=FaceCrop,padding=0.7",71,"5'11""",95,6,Junior,Previous,Los Alamitos,California,110,USC,https://drop-assets.ea.com/images/5ec2RUhudUnpOplKiSpQbA/b62f980da4d2353fda091562eb6f898c/USC.png,Big 10,Big Ten,https://drop-assets.ea.com/images/3MVleaeAJeehQC9SCckJe3/9ae157ee548e7d69ff13907c87dec94a/Big10.png,WR,WR,Wide Receiver,Offense,offense,91,94,64,93,91,92,92,90,89,75,87,55,91,93,58,87,89,59,62,50,61,58,56,52,48,55,62,37,58,55,54,55,44,45,49,47,42,39,55,63,60,55,55,96,95,94,95,97,94,29,30,90,0,cfb-26-national-championship,National Championship
Mansoor Delane,10516,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/48.png?im=FaceCrop,padding=0.7",72,"6'0""",95,4,Senior,Eligible,Silver Spring,Maryland,48,LSU,https://drop-assets.ea.com/images/1MaGgfinx2iUlAcy7kQyCR/32691ceece5cf069882d2c7329f6b228/LSU.png,SEC,SEC,https://drop-assets.ea.com/images/797vgRAVGIUkeVe3f1YoLD/5d2ce67b6bcb4fd5adc77f6e5994e5a3/SEC.png,CB,CB,Cornerback,Defense,defense,90,93,59,94,97,94,91,93,87,52,63,45,93,70,48,65,70,36,54,61,61,61,54,52,61,57,30,30,21,36,37,36,30,70,38,43,55,84,97,96,94,73,90,81,69,67,33,35,32,24,32,53,0,cfb-26-national-championship,National Championship
Mark Fletcher Jr.,5770,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/52.png?im=FaceCrop,padding=0.7",74,"6'2""",95,4,Junior,Eligible,Fort Lauderdale,Florida,52,Miami,https://drop-assets.ea.com/images/4cmIyUOVj1BdzyI08TJuTV/09d58d278cc60608c23a8894a74b5c50/Miami.png,ACC,ACC,https://drop-assets.ea.com/images/63IBTgQo7jjk0Ny2g71yxn/0210a2f5caa5dd6da384ef7975aa7224/ACC.png,HB,HB,Halfback,Offense,offense,90,91,84,86,92,87,89,92,97,89,90,95,86,93,92,84,88,37,51,60,57,40,40,59,55,46,15,47,20,37,33,37,45,62,46,45,51,52,52,37,41,70,37,68,66,65,70,64,56,39,43,76,0,cfb-26-national-championship,National Championship
Peter Woods,23578,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/20.png?im=FaceCrop,padding=0.7",75,"6'3""",95,11,Junior,Eligible,Alabaster,Alabama,20,Clemson,https://drop-assets.ea.com/images/Hdi1J4jV9KOKMUekOmWRi/26d6376da376f469011ca707d4903cd4/Clemson.png,ACC,ACC,https://drop-assets.ea.com/images/63IBTgQo7jjk0Ny2g71yxn/0210a2f5caa5dd6da384ef7975aa7224/ACC.png,DT,DT,Defensive Tackle,Defense,defense,77,87,95,76,88,81,92,84,95,65,58,75,65,52,66,35,40,35,57,51,94,59,53,54,50,57,31,22,10,34,16,24,44,90,91,78,95,94,91,30,32,92,40,44,36,37,33,33,37,24,26,25,0,cfb-26-national-championship,National Championship
T.J. Parker,20276,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/20.png?im=FaceCrop,padding=0.7",75,"6'3""",95,3,Junior,Eligible,Phenix City,Alabama,20,Clemson,https://drop-assets.ea.com/images/Hdi1J4jV9KOKMUekOmWRi/26d6376da376f469011ca707d4903cd4/Clemson.png,ACC,ACC,https://drop-assets.ea.com/images/63IBTgQo7jjk0Ny2g71yxn/0210a2f5caa5dd6da384ef7975aa7224/ACC.png,LE,LEDG,Left Edge,Defense,defense,85,91,88,82,95,85,95,88,94,55,34,55,74,52,65,55,60,42,38,40,85,35,35,40,40,45,12,15,13,30,35,11,37,89,97,87,85,96,97,54,65,94,52,48,40,38,41,39,41,24,26,45,0,cfb-26-national-championship,National Championship
Arvell Reese,20901,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/72.png?im=FaceCrop,padding=0.7",76,"6'4""",94,8,Junior,Eligible,Cleveland,Ohio,72,Ohio State,https://drop-assets.ea.com/images/1dUQVKJBqNFYCpHzWMkzHV/a3d0913ebb0be4b2a7f1002af985cd98/OhioState.png,Big 10,Big Ten,https://drop-assets.ea.com/images/3MVleaeAJeehQC9SCckJe3/9ae157ee548e7d69ff13907c87dec94a/Big10.png,MLB,MIKE,Mike Backer,Defense,defense,87,93,81,87,95,85,88,87,90,55,37,57,82,43,37,52,59,36,55,64,71,60,52,53,60,56,24,36,24,24,24,24,36,89,79,89,81,97,97,70,77,88,55,55,43,37,43,43,43,36,36,44,0,cfb-26-national-championship,National Championship
Brian Parker II,2277,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/24.png?im=FaceCrop,padding=0.7",77,"6'5""",94,53,Junior,Previous,Cincinnati,Ohio,24,Duke,https://drop-assets.ea.com/images/5lx8CaANozRy6dTODZgIW1/e715b67b4b5667c8bbf2294afa4d10df/Duke.png,ACC,ACC,https://drop-assets.ea.com/images/63IBTgQo7jjk0Ny2g71yxn/0210a2f5caa5dd6da384ef7975aa7224/ACC.png,RT,RT,Right Tackle,Offense,offense,74,81,90,77,92,73,91,93,85,50,36,37,62,36,38,32,32,46,91,94,88,89,93,92,96,93,28,34,37,36,23,33,29,36,49,42,46,34,37,32,32,47,35,33,32,31,30,25,22,48,38,34,0,cfb-26-national-championship,National Championship
Carnell Tate,22465,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/72.png?im=FaceCrop,padding=0.7",75,"6'3""",94,17,Junior,Eligible,Chicago,Illinois,72,Ohio State,https://drop-assets.ea.com/images/1dUQVKJBqNFYCpHzWMkzHV/a3d0913ebb0be4b2a7f1002af985cd98/OhioState.png,Big 10,Big Ten,https://drop-assets.ea.com/images/3MVleaeAJeehQC9SCckJe3/9ae157ee548e7d69ff13907c87dec94a/Big10.png,WR,WR,Wide Receiver,Offense,offense,91,93,70,93,94,93,92,92,89,75,81,64,90,87,67,87,90,48,59,39,59,53,54,35,39,53,37,29,37,31,31,43,36,55,43,41,44,59,52,54,53,61,57,93,94,92,92,95,94,35,35,75,0,cfb-26-national-championship,National Championship
Cayden Green,7022,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/59.png?im=FaceCrop,padding=0.7",77,"6'5""",94,70,Junior,Eligible,Lee's Summit,Missouri,59,Missouri,https://drop-assets.ea.com/images/5RtBgdfJvRGi7s2zECGwFS/0c03c9987c80af9965358e0b675d8b03/Missouri.png,SEC,SEC,https://drop-assets.ea.com/images/797vgRAVGIUkeVe3f1YoLD/5d2ce67b6bcb4fd5adc77f6e5994e5a3/SEC.png,LT,LT,Left Tackle,Offense,offense,74,83,90,75,93,76,95,91,87,54,41,40,64,39,41,32,32,44,89,94,89,86,92,92,96,95,18,44,37,21,21,36,35,40,58,41,51,35,46,35,34,57,36,32,34,33,35,32,33,20,21,25,0,cfb-26-national-championship,National Championship
Christen Miller,19194,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/32.png?im=FaceCrop,padding=0.7",76,"6'4""",94,52,Junior,Previous,Ellenwood,Georgia,32,Georgia,https://drop-assets.ea.com/images/7d9eKLlFWyr6CuWdCp0GCR/952ab68195eb1cea5d0f1733480a5749/Georgia.png,SEC,SEC,https://drop-assets.ea.com/images/797vgRAVGIUkeVe3f1YoLD/5d2ce67b6bcb4fd5adc77f6e5994e5a3/SEC.png,DT,DT,Defensive Tackle,Defense,defense,73,85,95,75,91,78,92,84,97,55,41,42,63,36,43,36,36,20,55,51,88,54,56,52,50,61,30,20,32,30,25,21,25,93,88,82,92,93,90,34,41,92,35,51,36,36,36,36,36,15,15,19,0,cfb-26-national-championship,National Championship
Colin Simmons,6335,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/96.png?im=FaceCrop,padding=0.7",75,"6'3""",94,1,Sophomore,Eligible,Dallas,Texas,96,Texas,https://drop-assets.ea.com/images/3PJCtK6Y8gWZn112nKGmBD/1c41d6f38e19875daff336a35fd65265/Texas.png,SEC,SEC,https://drop-assets.ea.com/images/797vgRAVGIUkeVe3f1YoLD/5d2ce67b6bcb4fd5adc77f6e5994e5a3/SEC.png,RE,REDG,Right Edge,Defense,defense,90,95,84,91,85,91,92,84,89,58,36,59,76,52,60,66,67,44,45,47,74,49,42,38,45,40,44,33,31,32,30,39,25,83,87,97,77,98,87,54,60,92,56,66,64,62,46,46,46,30,31,50,0,cfb-26-national-championship,National Championship
Elijah Sarratt,519,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/38.png?im=FaceCrop,padding=0.7",74,"6'2""",94,13,Senior,Eligible,Stafford,Virginia,38,Indiana,https://drop-assets.ea.com/images/4toZEtAPrEnU1X3Dqwbh93/68d698b574fe80c91a0946d56fa29da5/Indiana.png,Big 10,Big Ten,https://drop-assets.ea.com/images/3MVleaeAJeehQC9SCckJe3/9ae157ee548e7d69ff13907c87dec94a/Big10.png,WR,WR,Wide Receiver,Offense,offense,89,91,79,87,97,91,95,97,94,78,75,76,84,87,71,79,83,49,60,38,59,51,52,36,35,50,35,40,30,26,35,27,31,63,44,44,45,65,32,30,33,67,47,95,93,97,96,94,92,28,32,66,0,cfb-26-national-championship,National Championship
Isaac Brown,22171,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/47.png?im=FaceCrop,padding=0.7",69,"5'9""",94,1,Sophomore,Eligible,Miami,Florida,47,Louisville,https://drop-assets.ea.com/images/Seuj1C4lRxBglIQUUpcDB/1b92621eef5d95bd9cba582248b6f970/Louisville.png,ACC,ACC,https://drop-assets.ea.com/images/63IBTgQo7jjk0Ny2g71yxn/0210a2f5caa5dd6da384ef7975aa7224/ACC.png,HB,HB,Halfback,Offense,offense,95,97,67,96,83,92,92,93,89,85,87,71,96,88,65,88,92,55,42,58,53,33,27,54,60,50,45,35,45,43,41,51,42,38,25,27,35,32,59,45,50,44,40,73,71,67,72,68,64,31,32,85,0,cfb-26-national-championship,National Championship
Kenyon Sadiq,21772,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/77.png?im=FaceCrop,padding=0.7",75,"6'3""",94,18,Junior,Previous,Idaho Falls,Idaho,77,Oregon,https://drop-assets.ea.com/images/73d1889HUnLCQJxRhI72lR/31a586ed1836b72aacd5a5aee3f7fda2/Oregon.png,Big 10,Big Ten,https://drop-assets.ea.com/images/3MVleaeAJeehQC9SCckJe3/9ae157ee548e7d69ff13907c87dec94a/Big10.png,TE,TE,Tight End,Offense,offense,89,93,82,90,85,94,91,87,86,75,80,75,85,77,77,78,82,53,70,63,70,69,67,65,61,69,56,36,51,45,47,57,45,60,53,48,52,58,47,44,42,40,45,90,96,88,83,79,74,41,43,75,0,cfb-26-national-championship,National Championship
Kewan Lacy,7128,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/76.png?im=FaceCrop,padding=0.7",71,"5'11""",94,5,Sophomore,Eligible,Dallas,Texas,76,Ole Miss,https://drop-assets.ea.com/images/3d3D6YEnXzUaqTDucS3WYu/1df15ae8e1b1dce5f60a2e2ee413e39c/OleMiss.png,SEC,SEC,https://drop-assets.ea.com/images/797vgRAVGIUkeVe3f1YoLD/5d2ce67b6bcb4fd5adc77f6e5994e5a3/SEC.png,HB,HB,Halfback,Offense,offense,92,95,72,92,88,89,86,84,79,87,94,63,91,95,76,89,92,44,47,53,51,35,35,53,50,41,10,41,17,26,34,10,48,43,35,37,41,43,65,62,68,46,43,70,76,71,72,57,49,34,30,86,0,cfb-26-national-championship,National Championship
Logan Jones,23088,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/39.png?im=FaceCrop,padding=0.7",75,"6'3""",94,65,Senior,Previous,Council Bluffs,Iowa,39,Iowa,https://drop-assets.ea.com/images/2uJL4jhsAyv8528zATHu8Z/4097856daa9c6dafcaeb4ca71e1fd852/Iowa.png,Big 10,Big Ten,https://drop-assets.ea.com/images/3MVleaeAJeehQC9SCckJe3/9ae157ee548e7d69ff13907c87dec94a/Big10.png,C,C,Center,Offense,offense,78,88,91,77,97,86,91,89,95,59,48,46,78,44,48,47,43,26,91,92,89,87,94,93,88,97,18,21,36,37,22,22,38,52,79,64,79,55,50,45,44,72,42,47,44,42,44,46,45,15,20,25,0,cfb-26-national-championship,National Championship
Avieon Terrell,22480,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/20.png?im=FaceCrop,padding=0.7",71,"5'11""",93,8,Junior,Eligible,Atlanta,Georgia,20,Clemson,https://drop-assets.ea.com/images/Hdi1J4jV9KOKMUekOmWRi/26d6376da376f469011ca707d4903cd4/Clemson.png,ACC,ACC,https://drop-assets.ea.com/images/63IBTgQo7jjk0Ny2g71yxn/0210a2f5caa5dd6da384ef7975aa7224/ACC.png,CB,CB,Cornerback,Defense,defense,92,95,65,94,89,91,90,93,95,62,66,42,93,65,46,74,79,39,56,61,58,64,54,53,58,46,20,33,16,35,23,25,24,77,44,48,55,89,92,89,93,83,85,74,64,55,42,43,42,45,28,64,0,cfb-26-national-championship,National Championship
Caleb Tiernan,21991,"https://ratings-images-prod.pulse.ea.com/college-football-26/helmets/69.png?im=FaceCrop,padding=0.7",79,"6'7""",93,72,Senior,Previous,Livonia,Michigan,69,Northwestern,https://drop-assets.ea.com/images/6W0ZN0OqcbZwtA4Gr4kjkt/45cd38e27df4cd9724adc92168e0b8b5/Northwestern.png,Big 10,Big Ten,https://drop-assets.ea.com/images/3MVleaeAJeehQC9SCckJe3/9ae157ee548e7d69ff13907c87dec94a/Big10.png,LT,LT,Left Tackle,Offense,offense,67,73,93,63,92,71,89,82,86,53,42,43,59,43,42,31,37,33,77,94,92,75,79,97,92,80,18,29,28,27,10,28,27,43,59,38,53,37,43,32,36,57,32,36,32,35,35,35,36,40,34,36,0,cfb-26-national-championship,National Championship
